JSON_file,title,author
pg_2343.json,LETTERS OF VIRGINIA WOOLF,"Woolf, Virginia"
pg_0295.json,SKELETON KEY OF FINNEGANS WAKE,"Cambell, Joseph/Robinson, Henry Morton"
pg_0342.json,,MALCOLM LOWRY
pg_2036.json,DETACHMENT & THE ART OF WRITING OF HISTORY,Cornell University
pg_2083.json,Xenophon III,Anabasis I-KII
pg_0604.json,MONUMENTS OF CIVILIZATION ANCIENT CAMBODIA,Mazzeo & Antonini
pg_0651.json,AMERICAN INDIAN ART,
pg_0698.json,The book of life of the ancient mexicams (facsimile),Boone and Nuttall
pg_0745.json,Am.,Collected by Aubyn Kendall
pg_0793.json,PRE COLUMBIAN MAN IN COSTA RICE,Peabody Museum Prs
pg_0239.json,Albert Schweitzer,J.S. BACH
pg_0286.json,THE PERENNIAL PHILOSOPHY,Harper & Row
pg_0333.json,LOVERS,Penguin
pg_0380.json,Signet NAL,"Orwell, George"
pg_2027.json,Mentor NAL,Morton White
pg_2074.json,AGE OF THE DEMOCRATIC REVOLUTIONS I,"Palmer, R.R."
pg_0194.json,see invoice,Edited by Morris Bishop
pg_0642.json,THE HISTORY OF THE FIVE INDIAN NATIONS,Cornell University
pg_0689.json,Univ. of Oklahoma,George F. Andrews
pg_0736.json,Peabody,BARTON RAMIE
pg_0782.json,Univ. of Oklahoma,Ronald Spores
pg_0230.json,University of California,Art Hodes & Chadwick Hansen-
pg_0277.json,AFTER MANY A SUMMER DIES THE SWAN,Harper-Perennial
pg_0323.json,THE LATER D. H. LAWRENCE,"Lawrence, D.H."
pg_0370.json,IN A FREE STATE,"Naipaul, V.S."
pg_2018.json,PHENOMENOLOGY AND EXISTENTIALISM,"Lee, Edward N. & Mandelbaum, M, ed"
pg_2065.json,THE WORLD IN DEPRESSION 1929-39,"Kindleberger, Charles"
pg_0633.json,Ethnohistory & Rock Art,"Meighan, C. et al"
pg_0680.json,TALES OF THE NORTH AMERICAN INDIANS,"Thompson, Stith ed"
pg_0727.json,Simon Schuster,"Emmerich, Andre"
pg_0774.json,Univ. of Oklahoma,"Robicsek, Francis"
pg_0221.json,,Columbia
pg_0268.json,TESS OF THE D'URBERVILLES,Martins
pg_0362.json,THE THORN BIRDS,"MC Cullough, Colleen"
pg_2009.json,Mentor NAL,Stuart Hampshire (ed.
pg_2056.json,scism,"Forman, James D."
pg_0624.json,PRIMITIVE ART,"Wingert, Paul"
pg_0670.json,le Stuart,"Morgan, Lewis Henry"
pg_0765.json,TTALL,Zelia Nuttall ed.
pg_0212.json,THE CAPRA CHAPBOOK ANTHOLOGY,
pg_0259.json,FAR FROM THE MADDING CROWD,"Hardy, Thomas"
pg_0306.json,IN THE VERNACULAR,Peter Smith
pg_0353.json,COLLECTED SHORT STORIES 4,"Maugham, W. Somerset"
pg_2047.json,EUROPEAN WORLD 1870,"Derry, TH"
pg_0615.json,CIVILIZATIONS OF THE INDUS VALLEY & BEYOND 2,McGraw Hill
pg_0662.json,NAVAHO WITCHCRAFT,"Kluckhohn, Cylde"
pg_0756.json,Archaeology,doza
pg_0203.json,THE PUSHCART PRIZE V Best of the Small Presses paper,"Henderson, Bill"
pg_0297.json,JAMES JOYCE & THE MAKING OF ULYSSES,"Budgen, Frank"
pg_0344.json,,"Lowry, Marjorie"
pg_0391.json,THE ORWELL READER,
pg_2038.json,THE HISTORIAN'S CRAFT,"Bloch, Marc"
pg_2085.json,CYROPAEDIA I,Harvard Lo
pg_0606.json,THE GREAT CHINESE TRAVELERS,"Mirsky, Jeannette, ed"
pg_0653.json,US - Indians,of Oklahoma
pg_0700.json,Times Newspapers Limited,"Bray, Warwick"
pg_0747.json,Friar Diego de Landa,
pg_0794.json,Univ. of Oklahoma,Eric Thompson
pg_0241.json,VOL II,Albert Schweitzer.
pg_0288.json,POINT COUNTER POINT,Harper-Perennial
pg_0335.json,THE ART OF D.H. LAWRENCE,"Sagar, Keith"
pg_0381.json,BURMESE DAYS,"Orwell, George"
pg_2029.json,Littlefield Adams,"Albrecht-Carrie, Rene"
pg_2076.json,DISCOVERY Developing Views of the Earth,"Parker, John"
pg_0197.json,THE PUSHCART PRIZE II,"Henderson, Bill"
pg_0644.json,IN A SAC11 NER W LIVE,lentheryne
pg_0785.json,"INCIDENTS OF TRAVEL IN CENTRAL AMERICA,",CHIAPAS & YUCATAN Vol. I
pg_0279.json,Harper-Perennial,"Huxley, Aldous"
pg_0327.json,,PHOENIX II
pg_0373.json,Little Brown,Lee Bogigian
pg_2020.json,THE ESSENTIAL WORKS OF MARXISM,"Mendel, Arthur P., ed"
pg_2067.json,SAILING SHIPS,Bjorn Landstrom
pg_0635.json,"ANCIENT HUINS OF THE SOUTHWEST
Archaeological Guide","Press
B."
pg_0729.json,DESIGNS FROM THE COLUMBIAN MEXICO,"Enciso, Jorge"
pg_0776.json,LIFE OF THE INCAS IN ANCIENT PERU,"Rome, Jesus and Lucienne"
pg_0270.json,TRUMPET MAJOR,ST. Martins
pg_0317.json,AARON'S ROD,"Lawrence, DH"
pg_0364.json,A FAIRLY HONOURABLE DEFEAT,"Murdoch, Iris"
pg_2011.json,WORLDLY PHILOSOPHERS,Simon & Schuster
pg_2058.json,SOCIALISM,"Forman, James D."
pg_0626.json,HISTORY & PREHISTORY AT GRASS,Institute of Arch.
pg_0673.json,v. of,"Powers, Stephen"
pg_0720.json,pre-columb.,"Davies, Nigel"
pg_0767.json,ART OF MAYA HIEROGLYPHIC WRITING,Graham Intro.
pg_0261.json,Jude the obscure.,"Hardy, Thomas"
pg_0308.json,A SELECTION OF HIS STORIES & POEMS (2 vols),"Kipling, Rudyard"
pg_0356.json,THE NARROW CORNER,"Maugham, Somerset"
pg_2002.json,THE RATIONALISTS,Descartes/Spinoza/Leibniz
pg_2049.json,"THE GLORIOUS AGE OF EXPLORATION
Encyclopedia of Dics.",
pg_0617.json,THE CAVE ARTISTS,"Sieveking, Ann"
pg_0664.json,Last of His Tribe,anthropology
pg_0711.json,lahoma,"Carmack, Robert"
pg_0205.json,NOVELS & NOVELISTS Guide to The World of Fiction,"Seymour-Smith, Martin"
pg_0252.json,THE AMERICAN SONGBAG,Carl Sandburg
pg_0346.json,THE SHORT STORIES OF Katherine Mans,"Mansfield, Katherine"
pg_0393.json,THE ILLUSTRATED PEPYS,"Pepys, Samuel"
pg_2040.json,Historio,Fren
pg_0608.json,ANCIENT CHINA ARt & Archadology,"Rawson, Jessica"
pg_0655.json,THE CALIFORNIA INDIANS,"Heizer, R.F."
pg_0749.json,"THE BROKEN SPEARS: THE AZTEC ACCOUNT OF THE
CONQUEST OF MEXICO","Leon-Portilla, Miguel"
pg_0796.json,MAYA ARCHEAOLOGIST,autobio/arch
pg_0243.json,BEETHOVEN AND HIS NEPHEW,"Schocken,"
pg_0290.json,SELECTED ESSAYS FROM THE RA,"MBLER, ETC"
pg_0337.json,THE WORLD OF LAWRENCE A Passionate Appreciation 15,"Miller, Henry"
pg_0384.json,COMING UP FOR AIR,"Orwell, George"
pg_2031.json,Univ. of,
pg_2078.json,,Harmony Books
pg_0199.json,PRIZE III,PUSHCART
pg_0646.json,Indiens,Anthropology Am.
pg_0740.json,Hay et al,
pg_0786.json,Vol. II,CHIAPAS & YUCATAN
pg_0234.json,,H.L. MENCKEN ON MUSIC
pg_0281.json,Harper-Perennial,"Huxley, A."
pg_0328.json,THE PLUMED SERPENT,"Lawrence, D.H."
pg_0375.json,INDIA A Wounded Civilization,"Naipaul, V.S."
pg_2022.json,EXISTENTIALIST THINKERS & THOUGHT,phil. GENERAL
pg_2069.json,EUROPEAN,Pelican
pg_0190.json,LITTLE TREASURY OF LOVE POEMS,"Wilkins, Cary"
pg_0637.json,PASSIONATE AMATEUR'S GUIDE TO ARCHAEOLOGY IN THE U,"Wilson, Josleen"
pg_0684.json,PUEBLO GODS & MYTHS,of Oklahoma
pg_0731.json,v. of Oklahoma,"W* Ferguson & Royce, b"
pg_0778.json,Univ. of Oklahoma,F. Scholes & R. Roys
pg_0226.json,,"Guthrie, Woody"
pg_0272.json,WESSEX TALES,ST Martins Press
pg_0320.json,COMPLETE SHORT STORIES II,"Lawrence, D.H."
pg_0366.json,THE NICE AND THE GOOD,"Murdoch, Iris"
pg_2060.json,of Chicago,Daedalus
pg_0628.json,DESIGNS ON PREHISTORIC HOPI POTTERY,"Fewkes, Jesse W."
pg_0675.json,THE INDIAN HISTORY OF THE MODOC WAR,"Riddle, Jeff"
pg_0723.json,Peabody Museum Monographs #236,VIRACOCHA
pg_0769.json,lahoma,"Proskouriakoff, Tania"
pg_0216.json,ELIZABETHAN MUSIC AND MUSICAL CRITICISM,Daedalus
pg_0263.json,A LAODICEAN,St Martins Press
pg_0310.json,SHORT STORIES II,"Kipling, Rudyard"
pg_0357.json,THE PAINTED VEIL,"Maugham, Somerset"
pg_2004.json,and Mill,"Duncan, G."
pg_0619.json,THE BEGINNINGS OF ART,Philip Van Doren Stern
pg_0666.json,Pictorial HISTORY OF THE AMERICAN INDIAN,Bonanza
pg_0713.json,. of Oklahoma,"Caso, Alfonso"
pg_0761.json,Compiled by Curt Muser,Columbian
pg_0207.json,Edited by,Stephanie Spinner
pg_0254.json,,"SHE, KING SOLOMON'S MINES, ALLAN QUATERMAIN"
pg_0301.json,,Lippencott
pg_0348.json,THE BRITISH AGENT,Penguin
pg_0395.json,COLLECTED STORIES,"Pritchett, V.S."
pg_2042.json,IN THE AGE OF PHILIP II Vol. 2,"Braudel, Fernend"
pg_2089.json,THE TWELVE CAESARS,Penguin
pg_0657.json,WAYS OF MY GRANDMOTHERS,"Hungry Wolf, Beverly"
pg_0704.json,EMPIRE OF THE INCA,of Oklahoma
pg_0751.json,RD COLUMBIAN DESINGS FROM NAMA,"Lothrop, Samuel"
pg_0798.json,MAYA HISTORY & RELIGION,Oklahoma
pg_0292.json,SAMUEL JOHNSON BIOGRAPHY,"Wain, John"
pg_0339.json,THE MEMOIRS OF A SURVIVOR,"Lessing, Doris"
pg_0387.json,HOMAGE TO CATALONIA,"Orwell, George"
pg_0601.json,ANCIENT CHINA,"Hay, John"
pg_0648.json,Macmillan,"Embree, Edwin R."
pg_0695.json,THE OLMEC WORLD,"Bernal, Ignacio"
pg_0742.json,WORLD OF THE ANCIENT MAYA,"Henderson, John"
pg_0790.json,Archaeology,"Stierlin, Henri"
pg_0236.json,THE SOUND OF THEIR MUSIC*,"Nolan, Frederick"
pg_0283.json,THE DOORS OF PERCEPTION,"Huxley, Aldous"
pg_0330.json,THE RAINBOW,Penguin
pg_0377.json,Vol. I,"Collected Essays, Journalism and"
pg_2071.json,MODERN ASIA & AFRICA,"McNeill, W. & M. Iriye"
pg_0192.json,THE BEST SHORT STORIES OF THE MODERN AGE,"Angus, Douglas"
pg_0639.json,Cultural Anthro,IBSN
pg_0686.json,THE NAVAJOS,of Oklahoma
pg_0734.json,MAYA Riddle & Rediscovery of a Lost Civiliaztion,"Gallenkamp, Charles"
pg_0779.json,INDIAN DESIGNS FROM ANCIENT ECUADOR,"Shaffer, Frederick"
pg_0274.json,of Toronto,Daedalus
pg_0321.json,FOUR SHORT NOVELS,"Lawrence, BH"
pg_0367.json,THE SANDCASTLE,"Murdoch, Iris"
pg_2015.json,CRITIQUE OF RELIGION AND PHILOSOPHY,"Kaufmann, Walter"
pg_2062.json,THE ENLIGHTENMENT,"Hampson, Norman"
pg_0630.json,of the American Southwest,Thames & Hudson
pg_0677.json,SUN CHIEF THE AUTOBIOGRAPHY OF A HOPI INDIAN,"Simmons, Leo W., rd"
pg_0218.json,see invoice,BOURBON STREET
pg_0265.json,THE PORTABLE THOMAS HARDY,"Hardy, Thomas"
pg_0312.json,RUDYARD KIPLING'S INDIA,. of Oklahoma
pg_0359.json,THE SUMMING UP,"Maugham, Somerset"
pg_2006.json,Publisher • Pocket Books,
pg_2053.json,University of Toronto,Bub
pg_0621.json,TRADITION & CREATIVITY IN TRIBAL ART,"Biebuyck, Daniel"
pg_0668.json,Alice Marriott,& Carol Rachlin
pg_0715.json,pre columbiar,"Coe, Michael"
pg_0209.json,SHORT STORY MASTERPIECES,Edited by Robert Penn Warren
pg_0350.json,CHRISTMAS HOLIDAY,"Maugham, Somerset"
pg_0396.json,,AFTER LEAVING MR. MACKENZIE
pg_2044.json,,Harper Perennial
pg_0612.json,"ALCHEMY, MEDICINE & RELIGION IN THE CHINA
OF A.D. 320 THE NEI P'IEN OF KO HUNG","Ware, James R. ed&tr"
pg_0659.json,THE PATRIOT CHIEFS,Penguin
pg_0706.json,Univ. of New Mexico,Lambeth
pg_0753.json,"PEOPLES & CULTURES OF ANCIENT
ERU",Smithsonian
pg_0294.json,FINNEGAN'S WAKE,Penguin
pg_0341.json,THE GOLDEN NOTEBOOK,"Lessing, Doris"
pg_0388.json,IN FRONT OF YOUR NOSE,"Collected Essays, Journalism and"
pg_2082.json,NICOMACHEAN ETHICS,
pg_0603.json,THE ORIGINS OF CHINESE CIVILIZATION,"Keightley, David"
pg_0650.json,THE INDIANS' BOOK,"Curtis, Natalie"
pg_0744.json,lahoma,"Hunter, C. Bruce"
pg_0285.json,,"Huxley, Aldous"
pg_0332.json,WHOODIED,ST. MAWR & THE MAN
pg_0379.json,AS I PLEASE,"Orwell, George"
pg_2073.json,GREAT EXPLORERS,"Owen, Roderic"
pg_0195.json,THE PUSHCART PRIZE,"Anthol,"
pg_0641.json,OF NORTH AMERICAN,"Catlin, George"
pg_0688.json,lahoma,"Anawalt, Patricia"
pg_0735.json,Latin Am.,William Gates
pg_0228.json,Macmillan,CollierBooks
pg_0276.json,Collier Books,Macmillan
pg_0324.json,Black Sparrow Press,"Lawrence, D.H."
pg_0371.json,THE LOSS OF EL DORADO,"Naipal, V.S."
pg_2016.json,RENAISSANCE THOUGHT AND ITS SOURCES,Columbia
pg_2064.json,THE AGE OF REVOLUTION 1789,"Hobsbawm, E. J."
pg_0632.json,Peabody Museum Papers Vol 72,McGimsey Charles
pg_0726.json,ANCIEET ART OF LTIN AMERIC,Brooklyn Museum
pg_0773.json,lahoma,POPOL VU
pg_0220.json,MUSIC AND IMAGINATION,"Copland, Aaron"
pg_0267.json,Book Service,"Hardy, Thomas"
pg_0314.json,,Darkness at No
pg_2008.json,PHILOSOPHY AND THE HISTORICAL UNDERSTANDING,"Gallie, WB"
pg_2055.json,CAPITALISM,"Forman, James D."
pg_0623.json,ETHIOPIAN MAGIC SCROLLS,Braziller46
pg_0671.json,ANASAZI ANCIENT PEOPLE OF THE ROCK,David Muench
pg_0717.json,Univ. of Oklhoma,Crain & Reindorp ed.
pg_0764.json,Newsweek Wonders of Man,Hemming John
pg_0211.json,JUDAICA,Bource: Kramer
pg_0258.json,FAR FROM THE MADDING CROWS,"Hardy, Thomas"
pg_0305.json,CAPTAINS COURAGEOUS,"Kipling, Rudyard"
pg_0352.json,COLLECTED SHORT STORIES II,"Maugham, Somerset"
pg_0399.json,"SLEEP IT OFF, LADY","Rhys, Jean"
pg_2046.json,Histoiography,Regne y Gateway
pg_0614.json,CHAPTERS FROMTHE SHIH CHI OF SSU-MA CH'IEN,"Watson, Burton, Tr"
pg_0708.json,Univ. of New Mexico,Lambeth
pg_0755.json,PICTURE WRITING OF THE AMERICAN INDIANS VOL,"Mallery, Garrick"
pg_0249.json,Univ. of Washington,"Young, Phillip"
pg_0296.json,Lippencott,STEPHEN HERO
pg_0390.json,MY COUNTRY RIGHT OR LEFT,"Orwell, George"
pg_2037.json,HEAVENLY CITY OF THE 18th CENTURY PHILOSOPHERS,"Becker, Carl"
pg_0605.json,"Metropolitan Museum of Art
TREASURES FROM TBRONZE AGE OF CHINA",antine
pg_0652.json,lahoma,"APACHE, NAWHO, SPANNDARD"
pg_0699.json,Peabody Museum Papers Vol 61,"Bullard, Wm. ed."
pg_0746.json,SOUTHWESTERN ARCHAEOLOGY,"Kidder, Alfred"
pg_0792.json,PRE COLUMBIAN MAN FINDS CENTRAL AMERICA,Peabody Museum Prs
pg_0334.json,WOMEN IN LOVE,"Lawrence, D. H."
pg_0382.json,A CLERGYMAN'S DUAGHTER,"Orwell, George"
pg_2075.json,AGE OF THE DEMOCRATIC REVOLUTIONS II,"Palmer, R.R."
pg_0643.json,Am. Legacy Press,"CURTTS, EDWARD"
pg_0690.json,Latin-Americ,Thames and Hudson
pg_0737.json,ANCIENT MAYA CIVILIZATION,Rutgers
pg_0784.json,Univ. of Oklahoma,Mary Elizabeth Smith
pg_0278.json,,Harper-Perennial
pg_0325.json,THE LOST GIRL,"Lawrence, DH"
pg_0372.json,AN AREA OF DARKNESS,"Naipaul, V.S."
pg_2019.json,EXISTENTIALISM,"Macquarrie, John"
pg_2066.json,PORTABLE CONSERVATIVE READER,"Есо, рыса"
pg_0634.json,Monograph XX,Institute of Arch
pg_0682.json,Lee Bogigian,
pg_0728.json,DESIGN MOTIFS OF ANCIENT MEXICO,"Enciso, Jorge"
pg_0775.json,Pre columbian,"Robicsek, Francis"
pg_0222.json,Discus,"Davenport, Marcia"
pg_0269.json,TWO ON A TOWER,"Hardy, Thomas"
pg_0316.json,DARKNESS AT,"Koestler, Arthur"
pg_0363.json,THE EGOIST,"Meredith, George"
pg_2057.json,,"Forman, James D."
pg_0625.json,OF THE AMERICAN SOUTHWEST,"Barnett, Franklin"
pg_0672.json,Pocket Books,"Neihardt, John"
pg_0719.json,Archaeology,
pg_0766.json,pre columbian,Harper & Row
pg_0213.json,SIX GREAT MODERN SHORT NOVELS,
pg_0260.json,THE HAND OF ETHELBERTA,St. Martins Press
pg_0307.json,JUST SO STORIES,"Kipling, Ruyard"
pg_0354.json,THE MOON AND SIXPENCE,"Maugham, Somerset"
pg_2000.json,THE STRUCTURALISTS From Marx to Levi-Strauss,"DeGeorge, R. & F."
pg_2048.json,Encyclopedia of Discov.,
pg_0616.json,PREHISTORIC ART,"Powell, T.G.E."
pg_0663.json,HANDBOOK OF THE INDIANS OF CALIFORNIA,"Kroeber, A.L."
pg_0710.json,Univ. of New Mexico,"Brunhouse, Robert"
pg_0757.json,v. of Oklahoma,Henry Mercer
pg_0251.json,"t. of 
Shakers",Edward Deming Andrews
pg_0298.json,,RE JOYCE
pg_0345.json,JOURNAL OF KATHERINE MANS,"Mansfield, Katherine"
pg_0392.json,THE ROAD TO WIGAN PIER,"Orwell, George"
pg_2039.json,,Ernle Bradford
pg_2086.json,CYROPAEDIA II,Harvard Lo
pg_0607.json,THE IMPERIAL MING TOMBS,"Paludan, Ann"
pg_0654.json,THE ROCK PAINTINGS OF THE CHUMASH,"Grant, Campbell"
pg_0748.json,AZTEC THOUGHT & CULTURE,of Oklahoma Press
pg_0242.json,cken ·,"Spellman, AB ·"
pg_0289.json,THE HISTORY OF RASSELAS,"Johnson, Samuel"
pg_0336.json,,St Martins Press
pg_0383.json,A COLLECTION OF ESSAYS,"Orwell, George"
pg_2077.json,REVOLUTIONS OF 1848,"Robertson, Priscilla"
pg_0645.json,FIVE INDIAN TRIBES OF THE UPPER MISSOURI,of Oklahoma
pg_0692.json,Harvard Text,Peabody Museum
pg_0739.json,v. of Texas,Edited by Norman Hammond
pg_0787.json,INCIDENTS OF TRAVEL IN YUCATAN,John L. Stephens
pg_0232.json,FOLK SONGS OF NORTH AMERICA.,"Lomax, Alan ·"
pg_0280.json,BRAVE NEW WORLD,Harper & Row
pg_0326.json,PHOENIX,"Lawrence, DH"
pg_0374.json,Publisher - Pocket Books,MUTINY ON THE BOUNTY
pg_2021.json,EXISTENTIALISM VERSUS MARXISM,Phil. Anthol.
pg_2068.json,"HISTORY REMEMBERED, RECOVERED, INVENTED","Lewis, Bernard"
pg_0636.json,HISTORIC HOPI CERAMICS,Peabody Museum Press
pg_0683.json,NORTH AMERICAN INDIAN READER,Penguin
pg_0730.json,AN ANCIENT WORLD PRESERVED,Fred Andre Engel
pg_0224.json,THE MIKADO,Sir W.S. Gilbert
pg_0271.json,THE WELL BELOVED,St. Martins Press
pg_0318.json,,APOCALYSE
pg_0365.json,THE ITIMIAN GIRL,Penguin
pg_2013.json,MAN'S UNCONQUERABLE MIND,Columbia
pg_2059.json,THE TIMETABLES OF HISTORY,Simon & Schuster
pg_0627.json,IN SMALL THINGS FORGOTTEN,"Deetz, J."
pg_0674.json,NAVAHO RELIGION,"Reichard, Gladys A."
pg_0721.json,Univ. of Oklahoma,Nigel Daires
pg_0768.json,THE MAYA An Intrduction,Peabody Museum
pg_0215.json,BEETHOVEN'S LETTERS,"Kalischer, A.C., ed."
pg_0309.json,SHORT STORIES I,"Kipling, Rudyard"
pg_0355.json,,MRS C
pg_2050.json,THE LESSONS OF HISTORY,Simon and Schuster
pg_0665.json,"POTTERY OF ACATLAN A Changing Mexican Tradition clot
Univ. of Oklahoma","Lackey, Louana"
pg_0712.json,U of Chicago,"Carrasco, David"
pg_0759.json,THE HISTORY OF THEINCAS,"Metraux, Alfred"
pg_0253.json,BARTOK ORCHESTRAL MUSIC,"McCabe, John"
pg_0300.json,JOYCE'S VOICES,"Kenner, Hugh"
pg_0347.json,Random House,"Mansfield, Katherine"
pg_0394.json,PENNY MERRIMENTS,Columbia
pg_2041.json,IN THE AGE OF PHILIP II,"Braudel, Fernand"
pg_2088.json,HELLENICA,
pg_0609.json,"ANCIENT CHINA
Great Ages of Man",Little Brown
pg_0656.json,Univ. of,"Hultkrantz, Ake"
pg_0702.json,Pre Columbian,Norton (Thames and Hudson)
pg_0750.json,lahoma,"Leon-Portilla, Miguel"
pg_0797.json,"MAYA HIEROGLYPHIC WRITING
Univ. Of Oklahoma","Thompson, J. Eric"
pg_0244.json,AN AUTOBIOGRAPHY,"Stravinsky, Igor"
pg_0291.json,,Harper & Row
pg_0338.json,BRIEFING FOR A DESCENT INTO HELL,"Lessing, Doris"
pg_0385.json,,"DICKENS, DALI AND OTHERS"
pg_2032.json,The fifteent century. The prospect of europe.,"Aston, Margaret"
pg_2079.json,A SELECTION FROM HIS WORKS,Daedalus
pg_0600.json,EARLY BUDDHIST ROCK REMPLES,"Dehejia, Vidya"
pg_0647.json,National History Press,"Drucker, Philip"
pg_0694.json,Pre Columbian,"Bernal, Ignacio"
pg_0741.json,CONQUEST OF THE INCAS,John Hemming
pg_0788.json,INCIDENTS OF TRAVEL IN YUCATAN Vol. II,"Stephens, John L."
pg_0235.json,OF WOLFGANG AMADEUS,Hans Mersmann (ed.)
pg_0282.json,THE DEVILS OF LOUDUN,"Huxley, Aldous"
pg_0329.json,THE PORTABLE D,. H. LAWRENCE
pg_0376.json,THE INFORMER,"O'Flaherty, Lian"
pg_2023.json,IDEA OF FREEDOM,Daedalus
pg_2070.json,Humen Communit,IBSN
pg_0191.json,Little treasury of love poems,
pg_0638.json,PETER PITCHLYNN: CHIEF OF THE CHOCTAWS,"Baird, W. David"
