# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: it-journey
# Property: it-journey.dev
# ----------------------------------------
# 
# All Users
# Start date: 20251017
# End date: 20251113
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/LINK_CONSOLIDATION_SUMMARY/,0,1,0,1,0,0,0,0,0,0,0
/QUEST_TEMPLATE_ENHANCEMENT_SUMMARY/,0,6,0,8,0,0,0,0,0,0,0
/about/,0,63,0,5.968253968253968,5,2,0.4,9.8,17,0,0
/about/bamr87/,0,4,0,2.25,0,0,0,0,0,0,0
/about/contributing,0,4,0,39.75,0,0,0,0,0,0,0
/about/purpose/,0,16,0,8.3125,0,0,0,0,0,0,0
/about/readme/,0,5,0,7.2,0,0,0,0,0,0,0
/about/sitemap/,0,7,0,5.428571428571429,1,0,0,0,3,0,0
/about/theme/,0,3,0,8.333333333333332,0,0,0,0,0,0,0
/advanced-version-management-ai-implementation/,0,3,0,4.333333333333334,0,0,0,0,0,0,0
/ai-assisted-script-consolidation-development-workflows/,0,2,0,4,0,0,0,0,0,0,0
/ai-powered-modular-shell-script-refactoring/,0,2,0,5.5,0,0,0,0,0,0,0
/ai/ml/cms/development/open%20source/quests/epic-quest-zer0-to-her0-cmstyle,0,21,0,4.285714285714286,0,0,0,0,0,0,0
/automation/devops/documentation/docs-in-a-row,0,11,0,6.818181818181818,0,0,0,0,0,0,0
/consolidating-github-actions-modular-architecture/,0,4,0,12.25,0,0,0,0,0,0,0
/contributors/bamr87/,0,1,0,1,0,0,0,0,0,0,0
/docs-in-a-row,0,5,0,8.8,0,0,0,0,0,0,0
/docs/,0,4,0,7.25,0,0,0,0,0,0,0
/docs/CONTRIBUTING_DEVELOPER/,0,4,0,7.75,0,0,0,0,0,0,0
/docs/INSTALLATION_UPDATE/,0,58,0,6.206896551724138,0,0,0,0,0,0,0
/docs/LINK_CHECKER_FIX_RESOLUTION/,0,119,0,7.764705882352941,0,0,0,0,0,0,0
/docs/LINK_CHECKER_VALIDATION/,0,4,0,8,0,0,0,0,0,0,0
/docs/architecture/JEKYLL_IMPLEMENTATION/,0,29,0,9.344827586206897,0,0,0,0,0,0,0
/docs/architecture/REPOSITORY_STRUCTURE/,0,1,0,18,0,0,0,0,0,0,0
/docs/cannot-start-jekyll-at-specific-port/,0,18,0,8.277777777777779,0,0,0,0,0,0,0
/docs/continuously-deploy-jekyll-website-to-github-pages-with-travis-ci/,0,3,0,6,0,0,0,0,0,0,0
/docs/deploying-personal-website-with-custom-domain/,0,7,0,31.285714285714285,0,0,0,0,0,0,0
/docs/generating-diagrams-and-flowcharts-with-mermaid/,0,43,0,16.395348837209305,0,0,0,0,0,0,0
/docs/jekyll-comments-with-disqus/,0,23,0,15.608695652173912,0,0,0,0,0,0,0
/docs/jekyll-google-analytics/,0,1,0,24,0,0,0,0,0,0,0
/docs/jekyll-liquid/,0,81,0,11.296296296296296,0,0,0,0,0,0,0
/docs/jekyll-math-symbols-with-mathjax/,0,63,0,9.34920634920635,0,0,0,0,0,0,0
/docs/jekyll-pagination/,0,24,0,11.208333333333334,0,0,0,0,0,0,0
/docs/jekyll-performance-optimization/,0,11,0,5.454545454545454,0,0,0,0,0,0,0
/docs/jekyll-progress-bar/,0,8,0,14.125,0,0,0,0,0,0,0
/docs/jekyll-search-function-for-static-website/,0,5,0,14.4,0,0,0,0,0,0,0
/docs/jekyll-security/,0,20,0,9.4,0,0,0,0,0,0,0
/docs/jekyll-social-share-buttons-with-sharethis/,0,23,0,13.26086956521739,0,0,0,0,0,0,0
/docs/jekyll-usage-and-customization/,0,10,0,8.3,1,1,1,87,4,0,0
/docs/jekyll/,0,29,0,52.06896551724138,0,0,0,0,0,0,0
/docs/scripts/SCRIPTS_GUIDE/,0,2,0,5,0,0,0,0,0,0,0
/docs/setup/DEVELOPMENT_ENVIRONMENT/,0,12,0,9.5,0,0,0,0,0,0,0
/docs/setup/INSTALLATION_UPDATE/,0,31,0,5.741935483870968,0,0,0,0,0,0,0
/docs/standards/CONTENT_GUIDELINES/,0,4,0,10.25,0,0,0,0,0,0,0
/docs/standards/FRONTMATTER_STANDARDS/,0,37,0,8.783783783783784,0,0,0,0,0,0,0
/docs/testing/TESTING_FRAMEWORKS/,0,2,0,32,0,0,0,0,0,0,0
/docs/workflows/GITHUB_ACTIONS/,0,19,0,12.368421052631579,0,0,0,0,0,0,0
/docs/workflows/LINK_CHECKER_VALIDATION/,0,4,0,8.75,0,0,0,0,0,0,0
/documentation/quest-system/examples/quest-network-mapping-example,0,10,0,8.9,0,0,0,0,0,0,0
/enhancing-bashcrawl-cellar-scroll-educational-content/,0,4,0,10,0,0,0,0,0,0,0
/fixing-github-actions-bash-compatibility-ai-evolution-engine/,0,15,0,9.533333333333333,0,0,0,0,0,0,0
/fixing-github-actions-link-checker-keyerror/,0,4,0,9.5,0,0,0,0,0,0,0
/hobbies/,0,1,0,9,0,0,0,0,0,0,0
/home/,0,50,0,11.84,0,0,0,0,0,0,0
/integrating-ai-chatbot-jekyll-site/,0,5,0,6.8,0,0,0,0,0,0,0
/notebooks/JeykLLM-create/jeykllm-create/,0,22,0,7.681818181818182,0,0,0,0,0,0,0
/notebooks/markdown-to-script/markdown-to-script/,0,5,0,9.4,0,0,0,0,0,0,0
/notes/,0,7,0,16.57142857142857,0,0,0,0,0,0,0
/notes/2025-01-16-iterm-tips-and-tricks/2025-01-16-iterm-tips-and-tricks/,0,49,0,8.020408163265305,0,0,0,0,0,0,0
/notes/2025-01-24-set-up-azure-for-jekyll-contact-us-form/2025-01-24-set-up-azure-for-jekyll-contact-us-form/,0,37,0,22.89189189189189,0,0,0,0,0,0,0
/notes/2025-01-24-using-jekyll-lambda-and-ses-for-efficient-web-solutions/2025-01-24-using-jekyll-lambda-and-ses-for-efficient-web-solutions/,0,9,0,5.444444444444445,0,0,0,0,0,0,0
/notes/Journal%20Entries/GPT%20App%20Build/gpt-app-build/,0,1,0,6,0,0,0,0,0,0,0
/notes/cheetsheets/Bash%20cheatsheet/bash-cheatsheet/,0,59,0,38.389830508474574,0,0,0,0,0,0,0
/notes/cheetsheets/Shell%20and%20the%20CLI/shell-and-the-cli/,0,1,0,30,0,0,0,0,0,0,0
/notes/cheetsheets/bash/bash/,0,53,0,32.90566037735849,0,0,0,0,0,0,0
/notes/cheetsheets/mac-shortcuts/mac-shortcuts/,0,27,0,33.22222222222222,0,0,0,0,0,0,0
/notes/cheetsheets/markdown/markdown/,0,14,0,16.142857142857142,0,0,0,0,0,0,0
/notes/cheetsheets/programming/programming/,0,1,0,8,0,0,0,0,0,0,0
/notes/dev/2024-05-14-side-bar-folders/2024-05-14-side-bar-folders/,0,2,0,7.5,0,0,0,0,0,0,0
/notes/jekyll/,0,320,0,10.76875,0,0,0,0,0,0,0
/notes/jekyllm-integration/jekyllm-integration/,0,18,0,8.944444444444445,0,0,0,0,0,0,0
/notes/jupyter/,0,1,0,9,0,0,0,0,0,0,0
/notes/misc/AWS%20Practice%20Question%20Set/aws-practice-question-set/,0,145,0,9.13103448275862,0,0,0,0,0,0,0
/notes/misc/Favicons/favicons/,0,7,0,6.571428571428571,0,0,0,0,0,0,0
/notes/misc/cloud/cloud/,0,47,0,10.191489361702128,0,0,0,0,0,0,0
/notes/shell,0,1,0,3,0,0,0,0,0,0,0
/notes/zero/Start/start/,0,2,0,9.5,0,0,0,0,0,0,0
/pages/,0,4,0,9.5,0,0,0,0,0,0,0
/personal-site,0,1,0,7,0,0,0,0,0,0,0
/planting-seeds-software-evolution/,0,2,0,1,0,0,0,0,0,0,0
/posts/,0,7,0,5.428571428571429,2,0,0,0,6,0,0
/posts/2019/08/22/dockering-your-it-journey/,0,1,0,7,0,0,0,0,0,0,0
/posts/2019/08/22/sec-s-edgar-database/,0,41,0,47.36585365853659,0,0,0,0,0,0,0
/posts/2022/01/09/sonic-pi/,0,20,0,23.15,0,0,0,0,0,0,0
/posts/2022/06/10/desktop-widgets-windows/,0,30,0,12.366666666666667,0,0,0,0,0,0,0
/posts/2022/07/01/angular-tour-of-heros/,0,29,0,42.724137931034484,0,0,0,0,0,0,0
/posts/2023/04/20/arab-americans/,0,4,0,24.5,0,0,0,0,0,0,0
/posts/2024/02/10/retropie-imaging/,0,27,0,8.851851851851851,0,0,0,0,0,0,0
/posts/2024/03/10/raspberry-pi-5-case-build/,0,1,0,8,0,0,0,0,0,0,0
/posts/2024/03/11/cv-analysis/,0,1,0,1,0,0,0,0,0,0,0
/posts/2024/05/16/fight-with-tools/,0,2,0,7.5,0,0,0,0,0,0,0
/posts/2024/05/22/threat-of-women/,0,1,0,8,0,0,0,0,0,0,0
/posts/2024/05/28/auto-increment-frontmatter-version/,0,39,0,8.102564102564102,0,0,0,0,0,0,0
/posts/2024/06/01/latest-trends-in-manufacturing-technology/,0,3,0,6,0,0,0,0,0,0,0
/posts/2024/06/16/unwavering-joy-of-fetch/,0,2,0,10,0,0,0,0,0,0,0
/posts/2025/03/12/article-schema/,0,23,0,11.391304347826088,0,0,0,0,0,0,0
/posts/2025/03/13/excel-guru-s-are-the-most-valuable-programmers/,0,1,0,8,0,0,0,0,0,0,0
/posts/2025/03/13/excel-to-python/,0,2,0,7,0,0,0,0,0,0,0
/posts/2025/03/19/open-ai-future-features-with-github-action/,0,26,0,8.73076923076923,0,0,0,0,0,0,0
/posts/2025/08/22/forking-around-github/,0,1,0,19,0,0,0,0,0,0,0
/posts/404-hunting-quest/,0,279,0,9.046594982078853,0,0,0,0,0,0,0
/posts/arab-americans-journalists-guide/,0,56,0,7.607142857142857,1,1,1,338,4,0,0
/posts/build-destroy-repeat-mastery/,0,1,0,1,0,0,0,0,0,0,0
/posts/chatgpt-vs-impossible-triangle/,0,20,0,11.55,0,0,0,0,0,0,0
/posts/enchanted-overhaul-wizards-ethical-sorcery/,0,40,0,6.475,0,0,0,0,0,0,0
/quests/,0,35,0,8.085714285714285,0,0,0,0,0,0,0
/quests/epic-digital-portfolio-fortress/,0,3,0,9.333333333333334,0,0,0,0,0,0,0
/quests/hello-windows/,0,9,0,9.88888888888889,0,0,0,0,0,0,0
/quests/jekyll/frontend/jekyll-mermaid-integration-quest,0,28,0,10.25,0,0,0,0,0,0,0
/quests/level-%7B%7Bfm.level%20%7C%20default(%220001%22)%7D%7D-fm-title-%7C-default-epic-quest-title/,0,4,0,7.75,0,0,0,0,0,0,0
/quests/level-0001-terminal-mastery/,0,9,0,8,0,0,0,0,0,0,0
/quests/level-0001-terminal-navigation-mastery/,0,15,0,6.333333333333333,0,0,0,0,0,0,0
/quests/level-0010-oh-my-zsh-mastery/,0,40,0,7.9,0,0,0,0,0,0,0
/quests/level-0010-recursive-realms-testing/,0,12,0,6.416666666666667,0,0,0,0,0,0,0
/quests/level-0100-source-control-sorcery/,0,6,0,5.166666666666667,0,0,0,0,0,0,0
/quests/level-0101-docker-mastery/,0,2,0,7,0,0,0,0,0,0,0
/quests/level-0101-latex-cv-forging/,0,19,0,8.473684210526315,0,0,0,0,0,0,0
/quests/level-1010-automated-hyperlink-guardian/,0,5,0,6,0,0,0,0,0,0,0
/quests/level-1100-sec-edgar-siege/,0,90,0,8.722222222222221,0,0,0,0,0,0,0
/quests/level-1100-temple-of-templates/,0,2,0,7.5,0,0,0,0,0,0,0
/quests/level-1110-404-hunting-quest/,0,3,0,5,0,0,0,0,0,0,0
/quests/lvl_000/bash-run/,0,46,0,8.58695652173913,0,0,0,0,0,0,0
/quests/stating-the-stats/,0,4,0,3.5,0,0,0,0,0,0,0
/quickstart/2025-03-08-setting-up-django-and-git/,0,18,0,10.055555555555555,0,0,0,0,0,0,0
/quickstart/github-setup/,0,4,0,30,0,0,0,0,0,0,0
/roadmap/,0,16,0,5.5,0,0,0,0,0,0,0
/search/,0,14,0,17.928571428571427,0,0,0,0,0,0,0
/test/hyperlink-guardian/docs/setup/,0,4,0,7,0,0,0,0,0,0,0
/test/hyperlink-guardian/docs/usage/,0,10,0,6.6,0,0,0,0,0,0,0
/test/quest-validator/,0,2,0,18,0,0,0,0,0,0,0
/test/quest-validator/CHECKLIST/,0,1,0,6,0,0,0,0,0,0,0
/test/quest-validator/COMPLETION_SUMMARY/,0,4,0,8.25,0,0,0,0,0,0,0
/test/quest-validator/DOCKER_MIGRATION_SUMMARY/,0,3,0,6.333333333333333,0,0,0,0,0,0,0
/test/quest-validator/IMPLEMENTATION_SUMMARY/,0,2,0,5.5,0,0,0,0,0,0,0
/test/quest-validator/SUMMARY/,0,3,0,8.333333333333332,0,0,0,0,0,0,0
/vscode-neuroscience-setup/,0,18,0,10.11111111111111,0,0,0,0,0,0,0
/zer0/,0,46,0,8.521739130434781,0,0,0,0,0,0,0
(not set),0,0,0,0,6,1,0.1111111111111111,2.6666666666666665,19,0,0
/about/portfolio,0,0,0,0,2,2,1,0.5,19,0,0
/blog,0,0,0,0,2,2,1,0.5,19,0,0
/contact/,0,0,0,0,1,0,0,0,3,0,0
/notes/Journal Entries/Github_s hidden gem/github-s-hidden-gem/,0,0,0,0,3,1,0.3333333333333333,7.333333333333333,17,0,0
/notes/cheetsheets/Windows Powershell Cheatsheet/windows-powershell-cheatsheet/,0,0,0,0,2,2,1,101,8,0,0
/posts/erp,0,0,0,0,2,2,1,0.5,19,0,0
/posts/tech,0,0,0,0,2,2,1,1,20,0,0
/privacy-policy,0,0,0,0,2,2,1,0,18,0,0
/services/,0,0,0,0,2,1,0.5,5,8,0,0
/services/cloud/,0,0,0,0,2,0,0,0,6,0,0
/services/data/,0,0,0,0,2,0,0,0,6,0,0
/services/erp/,0,0,0,0,2,0,0,0,6,0,0
/services/fintech/,0,0,0,0,2,0,0,0,6,0,0
